Title,Author,Height,Publisher,GenreCombined
Fundamentals of Wavelets,"Goswami, Jaideva",228,Wiley,"tech,signal_processing"
Data Smart,"Foreman, John",235,Wiley,"tech,data_science"
God Created the Integers,"Hawking, Stephen",197,Penguin,"tech,mathematics"
Superfreakonomics,"Dubner, Stephen",179,HarperCollins,"science,economics"
Orientalism,"Said, Edward",197,Penguin,"nonfiction,history"
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",230,Springer,"tech,data_science"
Integration of the Indian States,"Menon, V P",217,Orient Blackswan,"nonfiction,history"
"Drunkard's Walk, The","Mlodinow, Leonard",197,Penguin,"science,mathematics"
Image Processing & Mathematical Morphology,"Shih, Frank",241,CRC,"tech,signal_processing"
How to Think Like Sherlock Holmes,"Konnikova, Maria",240,Penguin,"nonfiction,psychology"
Data Scientists at Work,Sebastian Gutierrez,230,Apress,"tech,data_science"
Slaughterhouse Five,"Vonnegut, Kurt",198,Random House,"fiction,classic"
Birth of a Theorem,"Villani, Cedric",234,Bodley Head,"science,mathematics"
Structure & Interpretation of Computer Programs,"Sussman, Gerald",240,MIT Press,"tech,computer_science"
"Age of Wrath, The","Eraly, Abraham",238,Penguin,"nonfiction,history"
"Trial, The","Kafka, Frank",198,Random House,"fiction,classic"
Statistical Decision Theory',"Pratt, John",236,MIT Press,"tech,data_science"
Data Mining Handbook,"Nisbet, Robert",242,Apress,"tech,data_science"
"New Machiavelli, The","Wells, H. G.",180,Penguin,"fiction,novel"
Physics & Philosophy,"Heisenberg, Werner",197,Penguin,"philosophy,science"
Making Software,"Oram, Andy",232,O'Reilly,"tech,computer_science"
"Analysis, Vol I","Tao, Terence",248,HBA,"tech,mathematics"
Machine Learning for Hackers,"Conway, Drew",233,O'Reilly,"tech,data_science"
"Signal and the Noise, The","Silver, Nate",233,Penguin,"tech,data_science"
Python for Data Analysis,"McKinney, Wes",233,O'Reilly,"tech,data_science"
Introduction to Algorithms,"Cormen, Thomas",234,MIT Press,"tech,computer_science"
"Beautiful and the Damned, The","Deb, Siddhartha",198,Penguin,"nonfiction,history"
"Outsider, The","Camus, Albert",198,Penguin,"fiction,classic"
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",176,Random House,"fiction,classic"
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",176,Random House,"fiction,classic"
"Wealth of Nations, The","Smith, Adam",175,Random House,"science,economics"
"Pillars of the Earth, The","Follett, Ken",176,Random House,"fiction,novel"
Mein Kampf,"Hitler, Adolf",212,Rupa,"nonfiction,autobiography"
"Tao of Physics, The","Capra, Fritjof",179,Penguin,"science,physics"
Surely You're Joking Mr Feynman,"Feynman, Richard",198,Random House,"science,physics"
"Farewell to Arms, A","Hemingway, Ernest",179,Rupa,"fiction,classic"
"Veteran, The","Forsyth, Frederick",177,Transworld,"fiction,novel"
False Impressions,"Archer, Jeffery",177,Pan,"fiction,novel"
"Last Lecture, The","Pausch, Randy",197,Hyperion,"nonfiction,autobiography"
Return of the Primitive,"Rand, Ayn",202,Penguin,"philosophy,objectivism"
Jurassic Park,"Crichton, Michael",174,Random House,"fiction,novel"
"Russian Journal, A","Steinbeck, John",196,Penguin,"nonfiction,history"
Tales of Mystery and Imagination,"Poe, Edgar Allen",172,HarperCollins,"fiction,classic"
Freakonomics,"Dubner, Stephen",197,Penguin,"science,economics"
"Hidden Connections, The","Capra, Fritjof",197,HarperCollins,"science,physics"
"Story of Philosophy, The","Durant, Will",170,Pocket,"philosophy,history"
Asami Asami,"Deshpande, P L",205,Mauj,"fiction,novel"
Journal of a Novel,"Steinbeck, John",196,Penguin,"fiction,classic"
Once There Was a War,"Steinbeck, John",196,Penguin,"nonfiction,history"
"Moon is Down, The","Steinbeck, John",196,Penguin,"fiction,classic"
"Brethren, The","Grisham, John",174,Random House,"fiction,novel"
In a Free State,"Naipaul, V. S.",196,Rupa,"fiction,novel"
Catch 22,"Heller, Joseph",178,Random House,"fiction,classic"
"Complete Mastermind, The",BBC,178,BBC,"nonfiction,trivia"
Dylan on Dylan,"Dylan, Bob",197,Random House,"nonfiction,autobiography"
Soft Computing & Intelligent Systems,"Gupta, Madan",242,Elsevier,"tech,data_science"
Textbook of Economic Theory,"Stonier, Alfred",242,Pearson,"tech,economics"
Econometric Analysis,"Greene, W. H.",242,Pearson,"tech,economics"
Learning OpenCV,"Bradsky, Gary",232,O'Reilly,"tech,signal_processing"
Data Structures Using C & C++,"Tanenbaum, Andrew",235,Prentice Hall,"tech,computer_science"
"Computer Vision, A Modern Approach","Forsyth, David",255,Pearson,"tech,signal_processing"
Principles of Communication Systems,"Taub, Schilling",240,TMH,"tech,signal_processing"
Let Us C,"Kanetkar, Yashwant",213,Prentice Hall,"tech,computer_science"
"Amulet of Samarkand, The","Stroud, Jonathan",179,Random House,"fiction,novel"
Crime and Punishment,"Dostoevsky, Fyodor",180,Penguin,"fiction,classic"
Angels & Demons,"Brown, Dan",178,Random House,"fiction,novel"
"Argumentative Indian, The","Sen, Amartya",209,Picador,"nonfiction,history"
Sea of Poppies,"Ghosh, Amitav",197,Penguin,"fiction,novel"
"Idea of Justice, The","Sen, Amartya",212,Penguin,"philosophy,economics"
"Raisin in the Sun, A","Hansberry, Lorraine",175,Penguin,"fiction,novel"
All the President's Men,"Woodward, Bob",177,Random House,"nonfiction,history"
"Prisoner of Birth, A","Archer, Jeffery",176,Pan,"fiction,novel"
Scoop!,"Nayar, Kuldip",216,HarperCollins,"nonfiction,history"
Ahe Manohar Tari,"Deshpande, Sunita",213,Mauj,"nonfiction,autobiography"
"Last Mughal, The","Dalrymple, William",199,Penguin,"nonfiction,history"
"Social Choice & Welfare, Vol 39 No. 1",Various,235,Springer,"tech,economics"
Radiowaril Bhashane & Shrutika,"Deshpande, P L",213,Mauj,"nonfiction,misc"
Gun Gayin Awadi,"Deshpande, P L",212,Mauj,"nonfiction,misc"
Aghal Paghal,"Deshpande, P L",212,Mauj,"nonfiction,misc"
Maqta-e-Ghalib,"Garg, Sanjay",221,Mauj,"nonfiction,poetry"
Beyond Degrees,Unknown Author,222,HarperCollins,"philosophy,education"
Manasa,"Kale, V P",213,Mauj,"nonfiction,misc"
India from Midnight to Milennium,"Tharoor, Shashi",198,Penguin,"nonfiction,history"
"World's Greatest Trials, The",Unknown Author,210,Unknown Publisher,"nonfiction,history"
"Great Indian Novel, The","Tharoor, Shashi",198,Penguin,"fiction,novel"
O Jerusalem!,"Lapierre, Dominique",217,vikas,"nonfiction,history"
"City of Joy, The","Lapierre, Dominique",177,vikas,"fiction,novel"
Freedom at Midnight,"Lapierre, Dominique",167,vikas,"nonfiction,history"
"Winter of Our Discontent, The","Steinbeck, John",196,Penguin,"fiction,classic"
On Education,"Russell, Bertrand",203,Routledge,"philosophy,education"
Free Will,"Harris, Sam",203,FreePress,"nonfiction,psychology"
Bookless in Baghdad,"Tharoor, Shashi",206,Penguin,"nonfiction,history"
"Case of the Lame Canary, The","Gardner, Earle Stanley",179,Unknown Publisher,"fiction,novel"
"Theory of Everything, The","Hawking, Stephen",217,Jaico,"science,physics"
New Markets & Other Essays,"Drucker, Peter",176,Penguin,"science,economics"
Electric Universe,"Bodanis, David",201,Penguin,"science,physics"
"Hunchback of Notre Dame, The","Hugo, Victor",175,Random House,"fiction,classic"
Burning Bright,"Steinbeck, John",175,Penguin,"fiction,classic"
"Age of Discontuinity, The","Drucker, Peter",178,Random House,"nonfiction,economics"
Doctor in the Nude,"Gordon, Richard",179,Penguin,"fiction,novel"
Down and Out in Paris & London,"Orwell, George",179,Penguin,"nonfiction,autobiography"
Identity & Violence,"Sen, Amartya",219,Penguin,"philosophy,philosophy"
Beyond the Three Seas,"Dalrymple, William",197,Random House,"nonfiction,history"
"World's Greatest Short Stories, The",Unknown Author,217,Jaico,"fiction,classic"
Talking Straight,"Iacoca, Lee",175,Unknown Publisher,"nonfiction,autobiography"
"Maugham's Collected Short Stories, Vol 3","Maugham, William S",171,Vintage,"fiction,classic"
"Phantom of Manhattan, The","Forsyth, Frederick",180,Unknown Publisher,"fiction,classic"
Ashenden of The British Agent,"Maugham, William S",160,Vintage,"fiction,classic"
Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",172,Vintage,"philosophy,autobiography"
"Great War for Civilization, The","Fisk, Robert",197,HarperCollins,"nonfiction,history"
We the Living,"Rand, Ayn",178,Penguin,"fiction,novel"
"Artist and the Mathematician, The","Aczel, Amir",186,HighStakes,"science,mathematics"
History of Western Philosophy,"Russell, Bertrand",213,Routledge,"philosophy,philosophy"
Selected Short Stories,Unknown Author,215,Jaico,"fiction,classic"
